"LOCATION","Country","SUBJECT","Subject","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2009","2009","PC","Percentage","0","Units",,,1.487321,,
"BEL","Belgium","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.35172,"B","Break"
"BEL","Belgium","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.300098,,
"BEL","Belgium","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.172108,,
"BEL","Belgium","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.359733,,
"BEL","Belgium","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.21821,,
"BEL","Belgium","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.177052,,
"BEL","Belgium","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.251519,"B","Break"
"BEL","Belgium","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.163812,,
"BEL","Belgium","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.994711,,
"BEL","Belgium","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.9193868,,
"BEL","Belgium","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2020","2020","PC","Percentage","0","Units",,,0.9157309,"B","Break"
"BEL","Belgium","YGTT09PE_ST","Employment in agriculture as % of employment","A","Annual","2021","2021","PC","Percentage","0","Units",,,0.9353689,,
"BEL","Belgium","YGTT10L1_ST","Employment in industry","A","Annual","2005","2005","PER","Persons","3","Thousands",,,1045.525,,
"BEL","Belgium","YGTT10L1_ST","Employment in industry","A","Annual","2006","2006","PER","Persons","3","Thousands",,,1052.725,,
"BEL","Belgium","YGTT10L1_ST","Employment in industry","A","Annual","2007","2007","PER","Persons","3","Thousands",,,1069.775,"B","Break"
"BEL","Belgium","YGTT10L1_ST","Employment in industry","A","Annual","2008","2008","PER","Persons","3","Thousands",,,1096.825,,
"BEL","Belgium","YGTT10L1_ST","Employment in industry","A","Annual","2009","2009","PER","Persons","3","Thousands",,,1037.75,,
"BEL","Belgium","YGTT10L1_ST","Employment in industry","A","Annual","2010","2010","PER","Persons","3","Thousands",,,1049.25,"B","Break"
"BEL","Belgium","YGTT10L1_ST","Employment in industry","A","Annual","2011","2011","PER","Persons","3","Thousands",,,1047.175,,
"BEL","Belgium","YGTT10L1_ST","Employment in industry","A","Annual","2012","2012","PER","Persons","3","Thousands",,,984.25,,
"BEL","Belgium","YGTT10L1_ST","Employment in industry","A","Annual","2013","2013","PER","Persons","3","Thousands",,,984.075,"E","Estimated value"
"BEL","Belgium","YGTT10L1_ST","Employment in industry","A","Annual","2014","2014","PER","Persons","3","Thousands",,,972.575,"E","Estimated value"
"BEL","Belgium","YGTT10L1_ST","Employment in industry","A","Annual","2015","2015","PER","Persons","3","Thousands",,,977.575,"E","Estimated value"
"BEL","Belgium","YGTT10L1_ST","Employment in industry","A","Annual","2016","2016","PER","Persons","3","Thousands",,,976.15,"E","Estimated value"
"BEL","Belgium","YGTT10L1_ST","Employment in industry","A","Annual","2017","2017","PER","Persons","3","Thousands",,,964.05,"E","Estimated value"
"BEL","Belgium","YGTT10L1_ST","Employment in industry","A","Annual","2018","2018","PER","Persons","3","Thousands",,,1003.375,"E","Estimated value"
"BEL","Belgium","YGTT10L1_ST","Employment in industry","A","Annual","2019","2019","PER","Persons","3","Thousands",,,1008.6,"E","Estimated value"
"BEL","Belgium","YGTT10L1_ST","Employment in industry","A","Annual","2020","2020","PER","Persons","3","Thousands",,,981.725,"E","Estimated value"
"BEL","Belgium","YGTT10L1_ST","Employment in industry","A","Annual","2021","2021","PER","Persons","3","Thousands",,,941.3,"E","Estimated value"
"BEL","Belgium","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2005","2005","PC","Percentage","0","Units",,,24.68524,,
"BEL","Belgium","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2006","2006","PC","Percentage","0","Units",,,24.68882,,
"BEL","Belgium","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2007","2007","PC","Percentage","0","Units",,,24.4259,"B","Break"
"BEL","Belgium","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2008","2008","PC","Percentage","0","Units",,,24.67062,,
"BEL","Belgium","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2009","2009","PC","Percentage","0","Units",,,23.47479,,
"BEL","Belgium","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2010","2010","PC","Percentage","0","Units",,,23.37523,"B","Break"
"BEL","Belgium","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2011","2011","PC","Percentage","0","Units",,,23.22269,,
"BEL","Belgium","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2012","2012","PC","Percentage","0","Units",,,21.75667,,
"BEL","Belgium","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2013","2013","PC","Percentage","0","Units",,,21.72207,"E","Estimated value"
"BEL","Belgium","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2014","2014","PC","Percentage","0","Units",,,21.40562,"E","Estimated value"
"BEL","Belgium","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2015","2015","PC","Percentage","0","Units",,,21.4775,"E","Estimated value"
"BEL","Belgium","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2016","2016","PC","Percentage","0","Units",,,21.28346,"E","Estimated value"
"BEL","Belgium","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2017","2017","PC","Percentage","0","Units",,,20.78691,"E","Estimated value"
"BEL","Belgium","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2018","2018","PC","Percentage","0","Units",,,21.10081,"E","Estimated value"
"BEL","Belgium","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2019","2019","PC","Percentage","0","Units",,,20.87324,"E","Estimated value"
"BEL","Belgium","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2020","2020","PC","Percentage","0","Units",,,20.44334,"E","Estimated value"
"BEL","Belgium","YGTT10PE_ST","Employment in industry as % of employment","A","Annual","2021","2021","PC","Percentage","0","Units",,,19.39345,"E","Estimated value"
"BEL","Belgium","YGTT11L1_ST","Employment in services","A","Annual","2005","2005","PER","Persons","3","Thousands",,,3103.525,,
"BEL","Belgium","YGTT11L1_ST","Employment in services","A","Annual","2006","2006","PER","Persons","3","Thousands",,,3127.925,,
"BEL","Belgium","YGTT11L1_ST","Employment in services","A","Annual","2007","2007","PER","Persons","3","Thousands",,,3228.6,"B","Break"
"BEL","Belgium","YGTT11L1_ST","Employment in services","A","Annual","2008","2008","PER","Persons","3","Thousands",,,3280,,
"BEL","Belgium","YGTT11L1_ST","Employment in services","A","Annual","2009","2009","PER","Persons","3","Thousands",,,3317.2,,
"BEL","Belgium","YGTT11L1_ST","Employment in services","A","Annual","2010","2010","PER","Persons","3","Thousands",,,3378.8,"B","Break"
"BEL","Belgium","YGTT11L1_ST","Employment in services","A","Annual","2011","2011","PER","Persons","3","Thousands",,,3403.475,,
"BEL","Belgium","YGTT11L1_ST","Employment in services","A","Annual","2012","2012","PER","Persons","3","Thousands",,,3486.625,,
"BEL","Belgium","YGTT11L1_ST","Employment in services","A","Annual","2013","2013","PER","Persons","3","Thousands",,,3484.625,"E","Estimated value"
"BEL","Belgium","YGTT11L1_ST","Employment in services","A","Annual","2014","2014","PER","Persons","3","Thousands",,,3515.625,"E","Estimated value"
"BEL","Belgium","YGTT11L1_ST","Employment in services","A","Annual","2015","2015","PER","Persons","3","Thousands",,,3520.475,"E","Estimated value"
"BEL","Belgium","YGTT11L1_ST","Employment in services","A","Annual","2016","2016","PER","Persons","3","Thousands",,,3552.875,"E","Estimated value"
"BEL","Belgium","YGTT11L1_ST","Employment in services","A","Annual","2017","2017","PER","Persons","3","Thousands",,,3619.75,"E","Estimated value"
"BEL","Belgium","YGTT11L1_ST","Employment in services","A","Annual","2018","2018","PER","Persons","3","Thousands",,,3704.475,"E","Estimated value"
"BEL","Belgium","YGTT11L1_ST","Employment in services","A","Annual","2019","2019","PER","Persons","3","Thousands",,,3779,"E","Estimated value"
"BEL","Belgium","YGTT11L1_ST","Employment in services","A","Annual","2020","2020","PER","Persons","3","Thousands",,,3776.475,"E","Estimated value"
"BEL","Belgium","YGTT11L1_ST","Employment in services","A","Annual","2021","2021","PER","Persons","3","Thousands",,,3867,"E","Estimated value"
"BEL","Belgium","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2005","2005","PC","Percentage","0","Units",,,73.27541,,
"BEL","Belgium","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2006","2006","PC","Percentage","0","Units",,,73.35702,,
"BEL","Belgium","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2007","2007","PC","Percentage","0","Units",,,73.7178,"B","Break"
"BEL","Belgium","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2008","2008","PC","Percentage","0","Units",,,73.77625,,
"BEL","Belgium","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2009","2009","PC","Percentage","0","Units",,,75.03789,,
"BEL","Belgium","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2010","2010","PC","Percentage","0","Units",,,75.27305,"B","Break"
"BEL","Belgium","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2011","2011","PC","Percentage","0","Units",,,75.47721,,
"BEL","Belgium","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2012","2012","PC","Percentage","0","Units",,,77.07122,,
"BEL","Belgium","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2013","2013","PC","Percentage","0","Units",,,76.9182,"E","Estimated value"
"BEL","Belgium","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2014","2014","PC","Percentage","0","Units",,,77.37617,"E","Estimated value"
"BEL","Belgium","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2015","2015","PC","Percentage","0","Units",,,77.34545,"E","Estimated value"
"BEL","Belgium","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2016","2016","PC","Percentage","0","Units",,,77.46502,"E","Estimated value"
"BEL","Belgium","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2017","2017","PC","Percentage","0","Units",,,78.04928,"E","Estimated value"
"BEL","Belgium","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2018","2018","PC","Percentage","0","Units",,,77.90448,"E","Estimated value"
"BEL","Belgium","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2019","2019","PC","Percentage","0","Units",,,78.20737,"E","Estimated value"
"BEL","Belgium","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2020","2020","PC","Percentage","0","Units",,,78.64093,"E","Estimated value"
"BEL","Belgium","YGTT11PE_ST","Employment in services as % of employment","A","Annual","2021","2021","PC","Percentage","0","Units",,,79.67118,"E","Estimated value"
"BEL","Belgium","YGTT06L1_ST","Unemployment","A","Annual","2005","2005","PER","Persons","3","Thousands",,,390.425,,
"BEL","Belgium","YGTT06L1_ST","Unemployment","A","Annual","2006","2006","PER","Persons","3","Thousands",,,383.225,,
"BEL","Belgium","YGTT06L1_ST","Unemployment","A","Annual","2007","2007","PER","Persons","3","Thousands",,,353,,
"BEL","Belgium","YGTT06L1_ST","Unemployment","A","Annual","2008","2008","PER","Persons","3","Thousands",,,333.375,,
"BEL","Belgium","YGTT06L1_ST","Unemployment","A","Annual","2009","2009","PER","Persons","3","Thousands",,,379.6,,
"BEL","Belgium","YGTT06L1_ST","Unemployment","A","Annual","2010","2010","PER","Persons","3","Thousands",,,405.9,"B","Break"
"BEL","Belgium","YGTT06L1_ST","Unemployment","A","Annual","2011","2011","PER","Persons","3","Thousands",,,346.7,,
"BEL","Belgium","YGTT06L1_ST","Unemployment","A","Annual","2012","2012","PER","Persons","3","Thousands",,,369,,
"BEL","Belgium","YGTT06L1_ST","Unemployment","A","Annual","2013","2013","PER","Persons","3","Thousands",,,416.825,,
"BEL","Belgium","YGTT06L1_ST","Unemployment","A","Annual","2014","2014","PER","Persons","3","Thousands",,,423.325,,
"BEL","Belgium","YGTT06L1_ST","Unemployment","A","Annual","2015","2015","PER","Persons","3","Thousands",,,421.85,,
"BEL","Belgium","YGTT06L1_ST","Unemployment","A","Annual","2016","2016","PER","Persons","3","Thousands",,,389.65,"B","Break"
"BEL","Belgium","YGTT06L1_ST","Unemployment","A","Annual","2017","2017","PER","Persons","3","Thousands",,,353.7,,
"BEL","Belgium","YGTT06L1_ST","Unemployment","A","Annual","2018","2018","PER","Persons","3","Thousands",,,300.75,,
"BEL","Belgium","YGTT06L1_ST","Unemployment","A","Annual","2019","2019","PER","Persons","3","Thousands",,,273.65,,
"BEL","Belgium","YGTT06L1_ST","Unemployment","A","Annual","2020","2020","PER","Persons","3","Thousands",,,282.425,"B","Break"
"BEL","Belgium","YGTT06L1_ST","Unemployment","A","Annual","2021","2021","PER","Persons","3","Thousands",,,324.375,,
"BEL","Belgium","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2005","2005","PC","Percentage","0","Units",,,8.438975,,
"BEL","Belgium","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2006","2006","PC","Percentage","0","Units",,,8.249064,,
"BEL","Belgium","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2007","2007","PC","Percentage","0","Units",,,7.460143,,
"BEL","Belgium","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2008","2008","PC","Percentage","0","Units",,,6.970808,,
"BEL","Belgium","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2009","2009","PC","Percentage","0","Units",,,7.906314,,
"BEL","Belgium","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2010","2010","PC","Percentage","0","Units",,,8.293048,"B","Break"
"BEL","Belgium","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2011","2011","PC","Percentage","0","Units",,,7.139795,,
"BEL","Belgium","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2012","2012","PC","Percentage","0","Units",,,7.537931,,
"BEL","Belgium","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2013","2013","PC","Percentage","0","Units",,,8.425185,,
"BEL","Belgium","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2014","2014","PC","Percentage","0","Units",,,8.52289,,
"BEL","Belgium","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2015","2015","PC","Percentage","0","Units",,,8.481071,,
"BEL","Belgium","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2016","2016","PC","Percentage","0","Units",,,7.83374,"B","Break"
"BEL","Belgium","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2017","2017","PC","Percentage","0","Units",,,7.088736,,
"BEL","Belgium","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2018","2018","PC","Percentage","0","Units",,,5.949855,,
"BEL","Belgium","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2019","2019","PC","Percentage","0","Units",,,5.360503,,
"BEL","Belgium","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2020","2020","PC","Percentage","0","Units",,,5.548887,"B","Break"
"BEL","Belgium","YGTT06PC_ST","Rate of Unemployment as % of Labour Force","A","Annual","2021","2021","PC","Percentage","0","Units",,,6.267329,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2005","2005","PER","Persons","3","Thousands",,,17292.13,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2006","2006","PER","Persons","3","Thousands",,,17482.31,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2007","2007","PER","Persons","3","Thousands",,,17800.03,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2008","2008","PER","Persons","3","Thousands",,,18077.01,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2009","2009","PER","Persons","3","Thousands",,,18212.09,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2010","2010","PER","Persons","3","Thousands",,,18399.97,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2011","2011","PER","Persons","3","Thousands",,,18574.72,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2012","2012","PER","Persons","3","Thousands",,,18737.41,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2013","2013","PER","Persons","3","Thousands",,,18932.57,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2014","2014","PER","Persons","3","Thousands",,,18997.48,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2015","2015","PER","Persons","3","Thousands",,,19120.72,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2016","2016","PER","Persons","3","Thousands",,,19270.28,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2017","2017","PER","Persons","3","Thousands",,,19530.28,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2018","2018","PER","Persons","3","Thousands",,,19732.03,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2019","2019","PER","Persons","3","Thousands",,,20139.75,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2020","2020","PER","Persons","3","Thousands",,,19896.6,,
"CAN","Canada","YGTT07L1_ST","Labour force","A","Annual","2021","2021","PER","Persons","3","Thousands",,,20385.35,,
"CAN","Canada","YGFE07L1_ST","Labour force females","A","Annual","2005","2005","PER","Persons","3","Thousands",,,8066,,
"CAN","Canada","YGFE07L1_ST","Labour force females","A","Annual","2006","2006","PER","Persons","3","Thousands",,,8184.525,,
"CAN","Canada","YGFE07L1_ST","Labour force females","A","Annual","2007","2007","PER","Persons","3","Thousands",,,8356.608,,
"CAN","Canada","YGFE07L1_ST","Labour force females","A","Annual","2008","2008","PER","Persons","3","Thousands",,,8482.9,,
"CAN","Canada","YGFE07L1_ST","Labour force females","A","Annual","2009","2009","PER","Persons","3","Thousands",,,8589.467,,
"CAN","Canada","YGFE07L1_ST","Labour force females","A","Annual","2010","2010","PER","Persons","3","Thousands",,,8696.517,,
"CAN","Canada","YGFE07L1_ST","Labour force females","A","Annual","2011","2011","PER","Persons","3","Thousands",,,8773.142,,
"CAN","Canada","YGFE07L1_ST","Labour force females","A","Annual","2012","2012","PER","Persons","3","Thousands",,,8861.191,,
"CAN","Canada","YGFE07L1_ST","Labour force females","A","Annual","2013","2013","PER","Persons","3","Thousands",,,8963.191,,
"CAN","Canada","YGFE07L1_ST","Labour force females","A","Annual","2014","2014","PER","Persons","3","Thousands",,,8965.358,,
"CAN","Canada","YGFE07L1_ST","Labour force females","A","Annual","2015","2015","PER","Persons","3","Thousands",,,8999.167,,
"CAN","Canada","YGFE07L1_ST","Labour force females","A","Annual","2016","2016","PER","Persons","3","Thousands",,,9090.8,,
"CAN","Canada","YGFE07L1_ST","Labour force females","A","Annual","2017","2017","PER","Persons","3","Thousands",,,9224.967,,
"CAN","Canada","YGFE07L1_ST","Labour force females","A","Annual","2018","2018","PER","Persons","3","Thousands",,,9330.925,,
"CAN","Canada","YGFE07L1_ST","Labour force females","A","Annual","2019","2019","PER","Persons","3","Thousands",,,9520.809,,
"CAN","Canada","YGFE07L1_ST","Labour force females","A","Annual","2020","2020","PER","Persons","3","Thousands",,,9361.825,,
"CAN","Canada","YGFE07L1_ST","Labour force females","A","Annual","2021","2021","PER","Persons","3","Thousands",,,9612.434,,
"CAN","Canada","YGMA07L1_ST","Labour force males","A","Annual","2005","2005","PER","Persons","3","Thousands",,,9226.116,,
"CAN","Canada","YGMA07L1_ST","Labour force males","A","Annual","2006","2006","PER","Persons","3","Thousands",,,9297.816,,
"CAN","Canada","YGMA07L1_ST","Labour force males","A","Annual","2007","2007","PER","Persons","3","Thousands",,,9443.45,,
"CAN","Canada","YGMA07L1_ST","Labour force males","A","Annual","2008","2008","PER","Persons","3","Thousands",,,9594.108,,
"CAN","Canada","YGMA07L1_ST","Labour force males","A","Annual","2009","2009","PER","Persons","3","Thousands",,,9622.625,,
"CAN","Canada","YGMA07L1_ST","Labour force males","A","Annual","2010","2010","PER","Persons","3","Thousands",,,9703.441,,
"CAN","Canada","YGMA07L1_ST","Labour force males","A","Annual","2011","2011","PER","Persons","3","Thousands",,,9801.559,,
"CAN","Canada","YGMA07L1_ST","Labour force males","A","Annual","2012","2012","PER","Persons","3","Thousands",,,9876.241,,
"CAN","Canada","YGMA07L1_ST","Labour force males","A","Annual","2013","2013","PER","Persons","3","Thousands",,,9969.392,,
"CAN","Canada","YGMA07L1_ST","Labour force males","A","Annual","2014","2014","PER","Persons","3","Thousands",,,10032.13,,
"CAN","Canada","YGMA07L1_ST","Labour force males","A","Annual","2015","2015","PER","Persons","3","Thousands",,,10121.53,,
"CAN","Canada","YGMA07L1_ST","Labour force males","A","Annual","2016","2016","PER","Persons","3","Thousands",,,10179.47,,
"CAN","Canada","YGMA07L1_ST","Labour force males","A","Annual","2017","2017","PER","Persons","3","Thousands",,,10305.34,,
"CAN","Canada","YGMA07L1_ST","Labour force males","A","Annual","2018","2018","PER","Persons","3","Thousands",,,10401.08,,
"CAN","Canada","YGMA07L1_ST","Labour force males","A","Annual","2019","2019","PER","Persons","3","Thousands",,,10618.93,,
"CAN","Canada","YGMA07L1_ST","Labour force males","A","Annual","2020","2020","PER","Persons","3","Thousands",,,10534.76,,
"CAN","Canada","YGMA07L1_ST","Labour force males","A","Annual","2021","2021","PER","Persons","3","Thousands",,,10772.92,,
"CAN","Canada","YGTT08L1_ST","Employment","A","Annual","2005","2005","PER","Persons","3","Thousands",,,16123.52,,
"CAN","Canada","YGTT08L1_ST","Employment","A","Annual","2006","2006","PER","Persons","3","Thousands",,,16375,,
"CAN","Canada","YGTT08L1_ST","Employment","A","Annual","2007","2007","PER","Persons","3","Thousands",,,16719.09,,
"CAN","Canada","YGTT08L1_ST","Employment","A","Annual","2008","2008","PER","Persons","3","Thousands",,,16959.1,,
"CAN","Canada","YGTT08L1_ST","Employment","A","Annual","2009","2009","PER","Persons","3","Thousands",,,16685.32,,
"CAN","Canada","YGTT08L1_ST","Employment","A","Annual","2010","2010","PER","Persons","3","Thousands",,,16907.31,,
"CAN","Canada","YGTT08L1_ST","Employment","A","Annual","2011","2011","PER","Persons","3","Thousands",,,17171.71,,
"CAN","Canada","YGTT08L1_ST","Employment","A","Annual","2012","2012","PER","Persons","3","Thousands",,,17362.9,,
"CAN","Canada","YGTT08L1_ST","Employment","A","Annual","2013","2013","PER","Persons","3","Thousands",,,17585.13,,
"CAN","Canada","YGTT08L1_ST","Employment","A","Annual","2014","2014","PER","Persons","3","Thousands",,,17677.18,,
"CAN","Canada","YGTT08L1_ST","Employment","A","Annual","2015","2015","PER","Persons","3","Thousands",,,17793.99,,
"CAN","Canada","YGTT08L1_ST","Employment","A","Annual","2016","2016","PER","Persons","3","Thousands",,,17911.57,,
"CAN","Canada","YGTT08L1_ST","Employment","A","Annual","2017","2017","PER","Persons","3","Thousands",,,18281.06,,
"CAN","Canada","YGTT08L1_ST","Employment","A","Annual","2018","2018","PER","Persons","3","Thousands",,,18567.99,,
"CAN","Canada","YGTT08L1_ST","Employment","A","Annual","2019","2019","PER","Persons","3","Thousands",,,18985.57,,
"CAN","Canada","YGTT08L1_ST","Employment","A","Annual","2020","2020","PER","Persons","3","Thousands",,,17999.22,,
"CAN","Canada","YGTT08L1_ST","Employment","A","Annual","2021","2021","PER","Persons","3","Thousands",,,18865.44,,
"CAN","Canada","YGFE08L1_ST","Employment females","A","Annual","2005","2005","PER","Persons","3","Thousands",,,7544.583,,
"CAN","Canada","YGFE08L1_ST","Employment females","A","Annual","2006","2006","PER","Persons","3","Thousands",,,7685.692,,
"CAN","Canada","YGFE08L1_ST","Employment females","A","Annual","2007","2007","PER","Persons","3","Thousands",,,7878.183,,
"CAN","Canada","YGFE08L1_ST","Employment females","A","Annual","2008","2008","PER","Persons","3","Thousands",,,7997.342,,
"CAN","Canada","YGFE08L1_ST","Employment females","A","Annual","2009","2009","PER","Persons","3","Thousands",,,7979.158,,
"CAN","Canada","YGFE08L1_ST","Employment females","A","Annual","2010","2010","PER","Persons","3","Thousands",,,8058.167,,
"CAN","Canada","YGFE08L1_ST","Employment females","A","Annual","2011","2011","PER","Persons","3","Thousands",,,8151.15,,
"CAN","Canada","YGFE08L1_ST","Employment females","A","Annual","2012","2012","PER","Persons","3","Thousands",,,8249.833,,
"CAN","Canada","YGFE08L1_ST","Employment females","A","Annual","2013","2013","PER","Persons","3","Thousands",,,8367.75,,
"CAN","Canada","YGFE08L1_ST","Employment females","A","Annual","2014","2014","PER","Persons","3","Thousands",,,8388.125,,
"CAN","Canada","YGFE08L1_ST","Employment females","A","Annual","2015","2015","PER","Persons","3","Thousands",,,8431.475,,
"CAN","Canada","YGFE08L1_ST","Employment females","A","Annual","2016","2016","PER","Persons","3","Thousands",,,8517.675,,
"CAN","Canada","YGFE08L1_ST","Employment females","A","Annual","2017","2017","PER","Persons","3","Thousands",,,8678.116,,
"CAN","Canada","YGFE08L1_ST","Employment females","A","Annual","2018","2018","PER","Persons","3","Thousands",,,8807.925,,
"CAN","Canada","YGFE08L1_ST","Employment females","A","Annual","2019","2019","PER","Persons","3","Thousands",,,9014.167,,
"CAN","Canada","YGFE08L1_ST","Employment females","A","Annual","2020","2020","PER","Persons","3","Thousands",,,8477.4,,
"CAN","Canada","YGFE08L1_ST","Employment females","A","Annual","2021","2021","PER","Persons","3","Thousands",,,8919.525,,
"CAN","Canada","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2005","2005","PC","Percentage","0","Units",,,46.79242,,
"CAN","Canada","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2006","2006","PC","Percentage","0","Units",,,46.93552,,
"CAN","Canada","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2007","2007","PC","Percentage","0","Units",,,47.12088,,
"CAN","Canada","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2008","2008","PC","Percentage","0","Units",,,47.15664,,
"CAN","Canada","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2009","2009","PC","Percentage","0","Units",,,47.82144,,
"CAN","Canada","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2010","2010","PC","Percentage","0","Units",,,47.66085,,
"CAN","Canada","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2011","2011","PC","Percentage","0","Units",,,47.46849,,
"CAN","Canada","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2012","2012","PC","Percentage","0","Units",,,47.51414,,
"CAN","Canada","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2013","2013","PC","Percentage","0","Units",,,47.58423,,
"CAN","Canada","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2014","2014","PC","Percentage","0","Units",,,47.45173,,
"CAN","Canada","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2015","2015","PC","Percentage","0","Units",,,47.38383,,
"CAN","Canada","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2016","2016","PC","Percentage","0","Units",,,47.55403,,
"CAN","Canada","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2017","2017","PC","Percentage","0","Units",,,47.47054,,
